id_db,Id,Name,Code
1,843,AirAsia,AK
2,1281,Jetstar,JQ
3,1825,Virgin Australia,VA
4,1416,Malaysia Airlines,MH
5,1121,Garuda Indonesia,GA
6,1625,Scoot,TZ
7,1762,Tigerair,TR
8,1713,Singapore Airlines,SQ
9,1417,SilkAir,MI
10,1606,Qantas,QF
11,1035,Emirates,EK
12,171,Jetstar Asia,3K
13,1429,China Eastern,MU
14,1751,Thai Airways,TG
15,954,China Southern,CZ
16,937,China Airlines,CI
17,952,Cathay Pacific,CX
18,929,Air China,CA
19,1618,Qatar Airways,QR
20,1530,Asiana Airlines,OZ
21,1317,Korean Air,KE
22,1464,ANA,NH
23,1276,Japan Airlines,JL
