id_db,Agent_Id,Price,InboundLegId,OutboundLegId
1,1920937,511.0,11109-1611242155-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102325
2,1920937,517.0,11109-1611241945-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102325
3,1920937,517.0,11109-1611242155-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102200
4,4498261,547.15,11109-1611242155-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102200
5,4378453,557.09,11109-1611242155-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102200
6,4386265,562.95,11109-1611242155-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102200
7,3164245,563.0,11109-1611242155-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102200
8,2158097,572.14,11109-1611242155-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102200
9,2369365,589.13,11109-1611242155-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102200
10,1920937,523.0,11109-1611241945-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102200
11,1920937,524.0,11109-1611241530-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102325
12,1920937,524.0,11109-1611241720-AK-1-16692-1611252020,16692-1611101155-AK-1-11109-1611102325
13,4498261,551.59,11109-1611242155-AK-1-16692-1611252020,16692-1611101730-JQ-0-11109-1611102055
14,4378453,563.26,11109-1611242155-AK-1-16692-1611252020,16692-1611101730-JQ-0-11109-1611102055
15,2369365,581.84,11109-1611242155-AK-1-16692-1611252020,16692-1611101730-JQ-0-11109-1611102055
16,4498261,561.27,11109-1611242225-JQ-0-16692-1611250710,16692-1611101155-AK-1-11109-1611102200
17,4378453,572.74,11109-1611242225-JQ-0-16692-1611250710,16692-1611101155-AK-1-11109-1611102200
18,2369365,597.97,11109-1611242225-JQ-0-16692-1611250710,16692-1611101155-AK-1-11109-1611102200
19,4498261,565.71,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
20,4378453,578.91,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
21,3164245,588.0,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
22,4055893,592.0,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
23,2369365,601.42,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
24,2158097,618.26,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
25,2502997,696.99,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
26,2499507,811.67,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
27,3954482,822.88,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
28,2291118,828.0,11109-1611242225-JQ-0-16692-1611250710,16692-1611101730-JQ-0-11109-1611102055
29,1920937,591.0,11109-1611242155-AK-1-16692-1611252020,16692-1611102140-AK-1-11109-1611112125
30,4498261,592.3,11109-1611242155-AK-1-16692-1611252020,16692-1611100800-V1-1-11109-1611101425
31,4378453,601.67,11109-1611242155-AK-1-16692-1611252020,16692-1611100800-V1-1-11109-1611101425
32,2369365,617.5,11109-1611242155-AK-1-16692-1611252020,16692-1611100800-V1-1-11109-1611101425
33,4498261,592.3,11109-1611242155-AK-1-16692-1611252020,16692-1611101600-V1-1-11109-1611102215
34,4378453,601.67,11109-1611242155-AK-1-16692-1611252020,16692-1611101600-V1-1-11109-1611102215
35,2369365,617.5,11109-1611242155-AK-1-16692-1611252020,16692-1611101600-V1-1-11109-1611102215
36,1920937,597.0,11109-1611241945-AK-1-16692-1611252020,16692-1611102140-AK-1-11109-1611111920
37,1920937,604.0,11109-1611241530-AK-1-16692-1611252020,16692-1611102140-AK-1-11109-1611111920
38,1920937,604.0,11109-1611241720-AK-1-16692-1611252020,16692-1611102140-AK-1-11109-1611111920
39,4498261,606.42,11109-1611242225-JQ-0-16692-1611250710,16692-1611100800-V1-1-11109-1611101425
40,4378453,617.32,11109-1611242225-JQ-0-16692-1611250710,16692-1611100800-V1-1-11109-1611101425
41,4055893,632.5,11109-1611242225-JQ-0-16692-1611250710,16692-1611100800-V1-1-11109-1611101425
42,2369365,640.85,11109-1611242225-JQ-0-16692-1611250710,16692-1611100800-V1-1-11109-1611101425
43,4498261,606.42,11109-1611242225-JQ-0-16692-1611250710,16692-1611101600-V1-1-11109-1611102215
44,4378453,617.32,11109-1611242225-JQ-0-16692-1611250710,16692-1611101600-V1-1-11109-1611102215
45,4055893,632.5,11109-1611242225-JQ-0-16692-1611250710,16692-1611101600-V1-1-11109-1611102215
46,2369365,640.85,11109-1611242225-JQ-0-16692-1611250710,16692-1611101600-V1-1-11109-1611102215
47,4035157,608.0,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
48,2051604,615.21,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
49,4498261,633.92,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
50,1945429,633.92,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
51,4243441,634.12,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
52,3933919,634.12,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
53,2042197,634.12,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
54,2158097,639.38,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
55,4378453,642.12,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
56,4386265,642.12,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
57,2499507,645.96,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
58,2627413,650.07,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
59,4055893,657.38,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
60,2369365,666.36,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
61,1963861,674.5,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
62,2040804,733.0,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
63,2044501,757.95,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
64,2291118,775.0,11109-1611242230-V1-0-16692-1611250740,16692-1611100800-V1-1-11109-1611101425
65,4035157,608.0,11109-1611242355-V1-0-16692-1611250905,16692-1611100800-V1-1-11109-1611101425
66,2051604,615.21,11109-1611242355-V1-0-16692-1611250905,16692-1611100800-V1-1-11109-1611101425
67,4498261,633.92,11109-1611242355-V1-0-16692-1611250905,16692-1611100800-V1-1-11109-1611101425
68,1945429,633.92,11109-1611242355-V1-0-16692-1611250905,16692-1611100800-V1-1-11109-1611101425
69,4243441,634.12,11109-1611242355-V1-0-16692-1611250905,16692-1611100800-V1-1-11109-1611101425
