id_db,id,Directionality,Departure,Arrival,Duration,DestinationStation,OriginStation,FlightNumber,CarrierId
1,16692-1611101155-AK-1-11109-1611102325,Outbound,2016-11-10T11:55:00,2016-11-10T23:25:00,870,11109,16692,223,843
2,16692-1611101155-AK-1-11109-1611102325,Outbound,2016-11-10T11:55:00,2016-11-10T23:25:00,870,11109,16692,555,843
3,16692-1611101155-AK-1-11109-1611102200,Outbound,2016-11-10T11:55:00,2016-11-10T22:00:00,785,11109,16692,223,843
4,16692-1611101155-AK-1-11109-1611102200,Outbound,2016-11-10T11:55:00,2016-11-10T22:00:00,785,11109,16692,557,843
5,16692-1611101730-JQ-0-11109-1611102055,Outbound,2016-11-10T17:30:00,2016-11-10T20:55:00,385,11109,16692,37,1281
6,16692-1611102140-AK-1-11109-1611112125,Outbound,2016-11-10T21:40:00,2016-11-11T21:25:00,1605,11109,16692,221,843
7,16692-1611102140-AK-1-11109-1611112125,Outbound,2016-11-10T21:40:00,2016-11-11T21:25:00,1605,11109,16692,374,843
8,16692-1611100800-V1-1-11109-1611101425,Outbound,2016-11-10T08:00:00,2016-11-10T14:25:00,565,11109,16692,917,1825
9,16692-1611100800-V1-1-11109-1611101425,Outbound,2016-11-10T08:00:00,2016-11-10T14:25:00,565,11109,16692,41,1825
10,16692-1611101600-V1-1-11109-1611102215,Outbound,2016-11-10T16:00:00,2016-11-10T22:15:00,555,11109,16692,957,1825
11,16692-1611101600-V1-1-11109-1611102215,Outbound,2016-11-10T16:00:00,2016-11-10T22:15:00,555,11109,16692,43,1825
12,16692-1611102140-AK-1-11109-1611111920,Outbound,2016-11-10T21:40:00,2016-11-11T19:20:00,1480,11109,16692,221,843
13,16692-1611102140-AK-1-11109-1611111920,Outbound,2016-11-10T21:40:00,2016-11-11T19:20:00,1480,11109,16692,378,843
14,16692-1611101120-V1-0-11109-1611101455,Outbound,2016-11-10T11:20:00,2016-11-10T14:55:00,395,11109,16692,65,1825
15,16692-1611100630-V1-1-11109-1611101425,Outbound,2016-11-10T06:30:00,2016-11-10T14:25:00,655,11109,16692,41,1825
16,16692-1611100630-V1-1-11109-1611101425,Outbound,2016-11-10T06:30:00,2016-11-10T14:25:00,655,11109,16692,905,1825
17,16692-1611100700-V1-1-11109-1611101425,Outbound,2016-11-10T07:00:00,2016-11-10T14:25:00,625,11109,16692,41,1825
18,16692-1611100700-V1-1-11109-1611101425,Outbound,2016-11-10T07:00:00,2016-11-10T14:25:00,625,11109,16692,909,1825
19,16692-1611100730-V1-1-11109-1611101425,Outbound,2016-11-10T07:30:00,2016-11-10T14:25:00,595,11109,16692,41,1825
20,16692-1611100730-V1-1-11109-1611101425,Outbound,2016-11-10T07:30:00,2016-11-10T14:25:00,595,11109,16692,913,1825
21,16692-1611101300-V1-1-11109-1611102215,Outbound,2016-11-10T13:00:00,2016-11-10T22:15:00,735,11109,16692,43,1825
22,16692-1611101300-V1-1-11109-1611102215,Outbound,2016-11-10T13:00:00,2016-11-10T22:15:00,735,11109,16692,943,1825
23,16692-1611101330-V1-1-11109-1611102215,Outbound,2016-11-10T13:30:00,2016-11-10T22:15:00,705,11109,16692,43,1825
24,16692-1611101330-V1-1-11109-1611102215,Outbound,2016-11-10T13:30:00,2016-11-10T22:15:00,705,11109,16692,945,1825
25,16692-1611101400-V1-1-11109-1611102215,Outbound,2016-11-10T14:00:00,2016-11-10T22:15:00,675,11109,16692,43,1825
26,16692-1611101400-V1-1-11109-1611102215,Outbound,2016-11-10T14:00:00,2016-11-10T22:15:00,675,11109,16692,947,1825
27,16692-1611101500-V1-1-11109-1611102215,Outbound,2016-11-10T15:00:00,2016-11-10T22:15:00,615,11109,16692,43,1825
28,16692-1611101500-V1-1-11109-1611102215,Outbound,2016-11-10T15:00:00,2016-11-10T22:15:00,615,11109,16692,951,1825
29,16692-1611102215-MH-1-11109-1611111525,Outbound,2016-11-10T22:15:00,2016-11-11T15:25:00,1210,11109,16692,140,1416
30,16692-1611102215-MH-1-11109-1611111525,Outbound,2016-11-10T22:15:00,2016-11-11T15:25:00,1210,11109,16692,851,1416
31,16692-1611100605-JQ-1-11109-1611101255,Outbound,2016-11-10T06:05:00,2016-11-10T12:55:00,590,11109,16692,501,1281
